5_o_Clock_Shadow: 剃り残しの髭
Arched_Eyebrows: アーチ型の眉
Attractive: 魅力的
Bags_Under_Eyes: 目の下のバッグ
Bald: はげ
Bangs: 前髪
Big_Lips: 大きな唇
Big_Nose: 大きな鼻
Black_Hair: 黒髪
Blond_Hair: 金髪
Blurry: ぼやけている
Brown_Hair: 茶髪
Bushy_Eyebrows: ボサボサ眉
Chubby: ぽっちゃり
Double_Chin: 二重顎
Eyeglasses: メガネ
Goatee: あごひげ
Gray_Hair: 白髪
Heavy_Makeup: 化粧が濃い
High_Cheekbones: 頬骨が高い
Male: 男性
Mouth_Slightly_Open: 口が少し空いている
Mustache: 口髭
Narrow_Eyes: 細い目
No_Beard: ひげがない
Oval_Face: 楕円形の顔
Pale_Skin: 肌が薄い
Pointy_Nose: 尖った鼻
Receding_Hairline: 交代した髪の毛
Rosy_Cheeks: 薔薇色のほお
Sideburns: 横髭
Smiling: 笑顔
Straight_Hair: ストレートヘア
Wavy_Hair: ウェーブヘア
Wearing_Earrings: ピアス
Wearing_Hat: 帽子
Wearing_Lipstick: 口紅
Wearing_Necklace: ネックレス
Wearing_Necktie: ネクタイ
Young: 若い:
